id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401870763,2026,1,true,Troy,fbs,24,Sam Houston,fbs,21,-3,Troy,-16.5,-1300,725,-21.83922499561004,18.83922499561004,13.5,354.91639843521807,182.25,1,1,0,0
401870763,2026,1,true,Troy,fbs,24,Sam Houston,fbs,21,-3,Troy,-15.5,,,-21.83922499561004,18.83922499561004,12.5,354.91639843521807,156.25,1,1,0,0
401870763,2026,1,true,Troy,fbs,24,Sam Houston,fbs,21,-3,Troy,-16.5,-850,575,-21.83922499561004,18.83922499561004,13.5,354.91639843521807,182.25,1,1,0,0
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,-460,340,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,-650,470,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,,,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0
401856660,2026,1,true,LSU,fbs,51,Clemson,fbs,10,-41,LSU,-10.0,-480,350,-6.70240236128809,34.297597638711906,31.0,1176.3252037869765,961.0,1,1,0,0
401856660,2026,1,true,LSU,fbs,51,Clemson,fbs,10,-41,LSU,-10.0,,,-6.70240236128809,34.297597638711906,31.0,1176.3252037869765,961.0,1,1,0,0
401856660,2026,1,true,LSU,fbs,51,Clemson,fbs,10,-41,LSU,-10.0,-410,320,-6.70240236128809,34.297597638711906,31.0,1176.3252037869765,961.0,1,1,0,0
401856662,2026,1,true,Mississippi State,fbs,62,UL Monroe,fbs,13,-49,Mississippi State,-28.5,-100000,2500,-29.50669612411409,19.49330387588591,20.5,379.9888959976287,420.25,1,1,1,1
401856662,2026,1,true,Mississippi State,fbs,62,UL Monroe,fbs,13,-49,Mississippi State,-28.5,-4000,1600,-29.50669612411409,19.49330387588591,20.5,379.9888959976287,420.25,1,1,1,1
401856662,2026,1,true,Mississippi State,fbs,62,UL Monroe,fbs,13,-49,Mississippi State,-28.5,,,-29.50669612411409,19.49330387588591,20.5,379.9888959976287,420.25,1,1,1,1
401858428,2026,1,true,Michigan,fbs,13,Western Michigan,fbs,12,-1,Michigan,-27.5,-7000,1300,-42.20172697987125,41.20172697987125,26.5,1697.5823061238507,702.25,1,1,0,0
401858428,2026,1,true,Michigan,fbs,13,Western Michigan,fbs,12,-1,Michigan,-27.5,-6500,2000,-42.20172697987125,41.20172697987125,26.5,1697.5823061238507,702.25,1,1,0,0
401858428,2026,1,true,Michigan,fbs,13,Western Michigan,fbs,12,-1,Michigan,-27.5,,,-42.20172697987125,41.20172697987125,26.5,1697.5823061238507,702.25,1,1,0,0
401856637,2026,1,true,Florida,fbs,66,Florida Atlantic,fbs,21,-45,Florida,-26.5,-6500,1300,-25.626553045741847,19.373446954258153,18.5,375.3304468894545,342.25,1,1,0,0
401856637,2026,1,true,Florida,fbs,66,Florida Atlantic,fbs,21,-45,Florida,-26.5,,,-25.626553045741847,19.373446954258153,18.5,375.3304468894545,342.25,1,1,0,0
401856637,2026,1,true,Florida,fbs,66,Florida Atlantic,fbs,21,-45,Florida,-25.5,-2400,1200,-25.626553045741847,19.373446954258153,19.5,375.3304468894545,380.25,1,1,1,1
401864498,2026,1,true,New Mexico,fbs,38,Central Michigan,fbs,7,-31,New Mexico,-11.0,-575,400,-16.878418538895886,14.121581461104114,20.0,199.4190629625994,400.0,1,1,1,1
401864498,2026,1,true,New Mexico,fbs,38,Central Michigan,fbs,7,-31,New Mexico,-10.5,-440,340,-16.878418538895886,14.121581461104114,20.5,199.4190629625994,420.25,1,1,1,1
401864498,2026,1,true,New Mexico,fbs,38,Central Michigan,fbs,7,-31,New Mexico,-11.5,,,-16.878418538895886,14.121581461104114,19.5,199.4190629625994,380.25,1,1,1,1
401864497,2026,1,true,Hawai'i,fbs,6,UNLV,fbs,21,15,UNLV,3.0,130,-150,13.02489041207431,1.9751095879256901,12.0,3.9010578843159895,144.0,1,1,1,1
401864497,2026,1,true,Hawai'i,fbs,6,UNLV,fbs,21,15,UNLV,3.0,120,-142,13.02489041207431,1.9751095879256901,12.0,3.9010578843159895,144.0,1,1,1,1
401864497,2026,1,true,Hawai'i,fbs,6,UNLV,fbs,21,15,UNLV,2.5,,,13.02489041207431,1.9751095879256901,12.5,3.9010578843159895,156.25,1,1,1,1
401858210,2026,1,true,California,fbs,24,UCLA,fbs,45,21,UCLA,2.5,110,-130,-4.385927930373757,25.385927930373757,18.5,644.4453368861305,342.25,0,1,0,0
401858210,2026,1,true,California,fbs,24,UCLA,fbs,45,21,UCLA,2.5,,,-4.385927930373757,25.385927930373757,18.5,644.4453368861305,342.25,0,1,0,0
401858210,2026,1,true,California,fbs,24,UCLA,fbs,45,21,UCLA,2.5,120,-142,-4.385927930373757,25.385927930373757,18.5,644.4453368861305,342.25,0,1,0,0
